company_a,company_b,representative_text_a,representative_text_b,representative_path_a,representative_path_b,category
Anthropic,Cohere,rights and choices”). if you are located in,rights and choices if you are located in,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,Other
OpenAI,xAI,"to us, such as your contact details (collectively","to us, such as your contact details (collectively",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,First-party Data Collection
Anthropic,OpenAI,"necessary to perform a contract with you, such","necessary to perform a contract with you, such as processing your prompts and other content to provide a response. where necessary to perform a contract with you, such",privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20260210064516/index.txt,Model Training
Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with theuk information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with thebrazilian data protection authority (anpd).if you live in australia, you have the right to lodge a complaint",you have the right to lodge a complaint,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,International and Specific Audiences
Anthropic,xAI,you have the right to withdraw your consent,"you have the right to withdraw your consent at any time. consent: where you have given us your consent. when we process personal information based on your consent, it will be expressly indicated to you at the point and time of collection. you have the right to withdraw your consent",privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,User Choice/Control
Anthropic,DeepSeek,when we ask for it to process your,when we ask for it to process your personal data for a specific purpose to communicate with you. performance of a contract with you when we provide and maintain our services. your consent when we ask for it to process your,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,Other
OpenAI,xAI,the factual accuracy of output from our models. if,the factual accuracy of output from our models. if,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241117131907/privacy-policy.txt,Model Training
Anthropic,OpenAI,from your use of the services when you,from your use of the services: when you,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Other
Alibaba,Anthropic,"collect information about your use of the services, such as the","collect information about your use of the services, such as the",privacy_policies/new_unique_text_PP/Alibaba_PP/20250410000000/Qwen.txt,privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,First-party Data Collection
Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is available here. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with the <JURISDICTION> information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with the brazilian data protection authority (anpd).if you live in australia, you have the right to lodge a complaint",you have the right to lodge a complaint,privacy_policies/new_unique_text_PP/Anthropic_PP/20250501000000/privacy.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,International and Specific Audiences
Anthropic,xAI,"with us, we collect your name, contact information","with us, we collect your name, contact information",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250215010404/privacy-policy.txt,First-party Data Collection
OpenAI,xAI,"to protect the safety, security, and integrity of our","to protect the safety, security, and integrity of our business and the service, as well as to protect our rights and property and those of others (e.g., if we detect misuse of our service or otherwise detect unusual activity on your account or in your interactions with us); and to protect the safety, security, and integrity of our",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,Data Security
Cohere,OpenAI,"for the following purposes, as described above:provide","for the following purposes, as described above: provide",privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,Other
DeepSeek,OpenAI,"a note about accuracy: services like <PROVIDER> generate responses by reading a user’s request and, in response, predicting the words most likely to appear next. in some cases, the words most likely to appear next may not be the most factually accurate.for this reason, you should not rely on the factual accuracy of output from our models. if you notice that output contains factually inaccurate information about you and you would like to request a correction or removal of the information, you can submit these requests <EMAIL> we will consider your request based on applicable law and the technical capabilities of our models. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that output contains factually inaccurate information about you and you would like to request a correction or removal of the information, you can submit these requests <EMAIL> we will consider your request based on applicable law and the technical capabilities of our models","a note about accuracy: services like <PROVIDER> generate responses by reading a user’s request and, in response, predicting the words most likely to appear next. in some cases, the words most likely to appear next may not be the most factually accurate. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that <PROVIDER> output contains factually inaccurate information about you and you would like to request a correction or removal of the information, you can submit these requests throughprivacy. <PROVIDER> .com⁠(opens in a new window)or <EMAIL> ⁠, and we will consider your request based on applicable law and the technical capabilities of our models. for",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,"User Access, Edit and Deletion"
OpenAI,xAI,"affiliates: we may disclose personal information to our affiliates, meaning an entity that controls, is controlled by, or is under common control with <PROVIDER>","affiliates: we may disclose personal information to our affiliates, meaning an entity that controls, is controlled by, or is under common control with <PROVIDER>",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20231106075325/privacy-policy.txt,Third Party Sharing/Collection
Alibaba,OpenAI,and information relating to how it is processed,and information relating to how it is processed,privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,Other
DeepSeek,OpenAI,"a note about accuracy: services like <PROVIDER> generate responses by reading a user’s request and, in response, predicting the words most likely to appear next. in some cases, the words most likely to appear next may not be the most factually accurate. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that output contains factually inaccurate personal data about you and you would like to request a correction or removal of the personal data, you can submit these requests through <EMAIL> and we will consider your request based on applicable law and the technical capabilities of our models","a note about accuracy: services like <PROVIDER> generate responses by reading a user’s request and, in response, predicting the words most likely to appear next. in some cases, the words most likely to appear next may not be the most factually accurate. for this reason, you should not rely on the factual accuracy of output from our models. if you notice that <PROVIDER> output contains factually inaccurate information about you and you would like to request a correction or removal of the information, you can submit these requests through privacy. <PROVIDER> .com⁠(opens in a new window) or to <EMAIL> ⁠, and we will consider your request based on applicable law and the technical capabilities of our models",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,"User Access, Edit and Deletion"
AI21,OpenAI,with legal obligations and to protect the rights,with legal obligations and to protect the rights,privacy_policies/new_unique_text_PP/AI21_PP/20250729000000/index.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Data Security
Anthropic,xAI,a correction request and we will make every,a correction request and we will make every,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,"User Access, Edit and Deletion"
Alibaba,xAI,how to contact us if you have any,how to contact us if you have any,privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
Anthropic,OpenAI,"communication information:if you communicate with us, we collect your name, contact information, and the contents of any messages you send. communication information: personal","communication information: if you communicate with us, we may collect your name, contact information, and the contents of any messages you send (“communication information”). personal",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230227230602/privacy-policy.txt,First-party Data Collection
OpenAI,xAI,"on social media sites, we may collect personal","on social media sites, we may collect personal",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,First-party Data Collection
Alibaba,OpenAI,"of our services, and to protect the security","of our services, and to protect the security of our systems and services to prevent fraud, criminal activity, or misuses of our services, and to protect the security",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Data Security
Anthropic,OpenAI,"perform a contract with you, such as processing","perform a contract with you, such as processing",privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Other
Anthropic,DeepSeek,ask for it to process your personal data,ask for it to process your personal data for a specific purpose to communicate with you. performance of a contract with you when we provide and maintain our services.your consent when we ask for it to process your personal data,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20260103103801/deepseek-privacy-policy.txt,Other
Alibaba,OpenAI,"activity, or misuses of our services, and to protect the security of our","activity, or misuses of our services, and to protect the security of our",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,Data Security
ByteDance,Cohere,any questions or comments about this privacy policy or,any questions or comments about this privacy policy or,privacy_policies/new_unique_text_PP/ByteDance_doubao_PP/20240529154215/privacy-policy.txt,privacy_policies/new_unique_text_PP/Cohere_old_PP/20210530222620/privacy.txt,Other
DeepSeek,OpenAI,"where required, we will use appropriate safeguards for transferring personal","where required, we will use appropriate safeguards for transferring personal",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,Data Transfer
ByteDance,xAI,service. we use your personal information to: provide,service: we use your personal information to provide and maintain our service (including to provide output in response to input). to provide and maintain our service: we use your personal information to provide,privacy_policies/new_unique_text_PP/ByteDance_doubao_PP/20240529154215/privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Model Training
AI21,OpenAI,"outside of the <JURISDICTION> , <JURISDICTION> and the <JURISDICTION>","outside of the <JURISDICTION> , <JURISDICTION> , and the <JURISDICTION>",privacy_policies/new_unique_text_PP/AI21_PP/20250729000000/index.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,International and Specific Audiences
OpenAI,xAI,"so that it no longer identifies you and share it with third parties for the purposes described above, such as to","so that it no longer identifies you and use this information for the purposes described above, such as to",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20260210064516/index.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Third Party Sharing/Collection
Anthropic,DeepSeek,"rights, you or an authorized agent may submit a request by emailing us at <EMAIL> . after we receive your request, we may verify it by requesting information sufficient to confirm your identity. you may also have the right to appeal requests that we deny by emailing <EMAIL>","rights, you or an authorized agent may submit a request by emailing us at <EMAIL> . after we receive your request, we may verify it by requesting information sufficient to confirm your identity or authority to exercise a right on behalf of someone else. you may also have the right to appeal requests that we deny by emailing <EMAIL>",privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230330164702/legal.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,Other
Alibaba,OpenAI,"collect information that your browser or device automatically sends when you use our services. this may include the brand, model, and id of your device, your internet protocol (ip)address, browser type and settings, the date and time of your request, and how you interact with our services. log data information we automatically collect during your use of the services usage data: we may collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection","collect information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. usage data: we collect information about your use and activity across the services, such as the types of content that you view or engage with, the features you use and the actions you take, when you submit feedback to a model response, the people with whom you interact, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection",privacy_policies/new_unique_text_PP/Alibaba_PP/20250410000000/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20260210064516/index.txt,First-party Data Collection
Anthropic,xAI,or those of a third party) and your,or those of a third party) and your,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Third Party Sharing/Collection
Anthropic,DeepSeek,"users from illegal activities, inappropriate behavior or violations","users from illegal activities, inappropriate behavior or violations",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,Other
OpenAI,xAI,"provide to us, such as your contact details","provide to us, such as your contact details",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,First-party Data Collection
AI21,OpenAI,for the purposes described in this privacy policy. this includes processing and storing your personal data in our facilities and servers in the <JURISDICTION> . while data protection law varies by country,"for the purposes described in this privacy policy on servers located in various jurisdictions, including processing and storing your personal data in our facilities and servers in the <JURISDICTION> . while data protection law varies by country",privacy_policies/new_unique_text_PP/AI21_PP/20250729000000/index.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,International and Specific Audiences
Anthropic,xAI,effort to correct this information—but due to,effort to correct this information — but due to,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,"User Access, Edit and Deletion"
DeepSeek,Mistral,how long do we keep your personal data how long do we keep your personal data we,how long do we keep your personal data? we,privacy_policies/new_unique_text_PP/DeepSeek_PP/20260103103801/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/Mistral_PP/20250527000000/terms.txt,Data Retention
AI21,Alibaba,we are not responsible for the privacy practices,we are not responsible for the privacy practices,privacy_policies/new_unique_text_PP/AI21_PP/20250401190253/index.txt,privacy_policies/new_unique_text_PP/Alibaba_PP/20250410000000/Qwen.txt,Other
Anthropic,xAI,a third party) and your interests and rights,a third party) and your interests and rights,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Third Party Sharing/Collection
Anthropic,DeepSeek,"illegal activities, inappropriate behavior or violations of terms","illegal activities, inappropriate behavior or violations of terms",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,Other
Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with theuk information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with thebrazilian data protection authority (anpd). if you live in australia, you have the right to lodge a complaint",you have the right to lodge a complaint,privacy_policies/new_unique_text_PP/Anthropic_PP/20260609035417/privacy.txt,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,"User Access, Edit and Deletion"
Alibaba,OpenAI,"legal obligations and to protect the rights, privacy","legal obligations and to protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Third Party Sharing/Collection
Anthropic,xAI,certain exceptions. please note that we cannot guarantee,certain exceptions.please note that we cannot guarantee,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Other
Anthropic,DeepSeek,we ask for it to process your personal,we ask for it to process your personal data for a specific purpose to communicate with you. performance of a contract with you when we provide and maintain our services. your consent when we ask for it to process your personal,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,Other
AI21,OpenAI,right to lodge a complaint with your local,right to lodge a complaint with your local,privacy_policies/new_unique_text_PP/AI21_PP/20250729000000/index.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230314210410/privacy-policy.txt,Other
Alibaba,OpenAI,"to protect the rights, privacy, safety, or property","to protect the rights, privacy, safety, or property of our users, us, our affiliates, or any third party to comply with legal obligations and to protect the rights, privacy, safety, or property",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Third Party Sharing/Collection
Anthropic,xAI,"subject to certain exceptions. please note that we cannot guarantee the factual accuracy of outputs. if outputs contain factually inaccurate personal data relating to you, you can submit a correction request and we will make a reasonable effort to correct this information—but due to the technical complexity of our large language models, it may not always be possible for us to do so","subject to certain exceptions.please note that we cannot guarantee the factual accuracy of output from our models. if output contains factually inaccurate personal information relating to you, you can submit a correction request and we will make every effort to correct this information — but due to the technical complexity of our models, it may not always be possible for us to do so",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,"User Access, Edit and Deletion"
Cohere,OpenAI,"use this information for the following purposes, as","use this information for the following purposes, as",privacy_policies/new_unique_text_PP/Cohere_PP/20251207072134/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,Other
Alibaba,OpenAI,"to comply with legal obligations and to protect the rights, privacy, safety, or property of","to comply with legal obligations and to protect the rights, privacy, safety, or property of",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20260210054215/index.txt,Data Security
Alibaba,OpenAI,"illegal activity, or misuses of our services, and","illegal activity, or misuses of our services, and",privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Data Security
Alibaba,OpenAI,to comply with legal obligations and to protect,to comply with legal obligations and to protect,privacy_policies/new_unique_text_PP/Alibaba_old_PP/20250120114200/Qwen.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Data Security
Anthropic,DeepSeek,you may also have the right to appeal requests that we deny by emailing <EMAIL>,you may also have the right to appeal requests that we deny by emailing <EMAIL>,privacy_policies/new_unique_text_PP/Anthropic_PP/20260609035417/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,Other
OpenAI,xAI,"we suspect fraudulent or malicious activity, we may ask you to","we suspect fraudulent or malicious activity, we may ask you to",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20231106075325/privacy-policy.txt,Data Security
Anthropic,xAI,"you, you can submit a correction request and","you, you can submit a correction request and",privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,"User Access, Edit and Deletion"
Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. feedback communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the entire related conversation as part of your feedback. you can learn more about how we use feedbackhere. feedback on your use of our services: feedback communication information:if you communicate with us, including via our chatbot on our help site, we collect your name, contact information, and the contents of",privacy_policies/new_unique_text_PP/Alibaba_PP/20250410000000/Qwen.txt,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,First-party Data Collection
Anthropic,xAI,will collect your feedback (as defined in our,will collect your feedback (as defined in our,privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230330164702/legal.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,First-party Data Collection
Mistral,OpenAI,withdraw your consent to the processing of your personal,withdraw your consent to the processing of your personal,privacy_policies/new_unique_text_PP/Mistral_old_PP/20231211094117/Policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20230314210410/privacy-policy.txt,User Choice/Control
DeepSeek,OpenAI,depending on where you live and subject to,depending on where you live and subject to,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,Other
Anthropic,xAI,technologies we and our service providers use cookies,technologies: we and our service providers use cookies,privacy_policies/new_unique_text_PP/Anthropic_old_PP/20230309171545/legal.txt,privacy_policies/new_unique_text_PP/xAI_PP/20260306150809/privacy-policy.txt,First-party Data Collection
OpenAI,xAI,for more information on the sources of information used to develop,for more information on the sources of information used to develop,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,Other
Anthropic,OpenAI,"perform a contract with you, such as processing","perform a contract with you, such as processing your prompts and other content to provide a response. where necessary to perform a contract with you, such as processing",privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20260210064516/index.txt,Model Training
Cohere,OpenAI,"we collect the following information, as described above","we collect the following information, as described above",privacy_policies/new_unique_text_PP/Cohere_PP/20260412090021/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_PP/20241203173911/privacy-policy.txt,First-party Data Collection
Anthropic,DeepSeek,"from illegal activities, inappropriate behavior or violations of","from illegal activities, inappropriate behavior or violations of",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,Other
Anthropic,xAI,"from loss, misuse, and unauthorized access, disclosure, alteration, or destruction","from loss, misuse, and unauthorized access, disclosure, alteration, or destruction",privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Data Security
AI21,Anthropic,you have the right to lodge a complaint with,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with theuk information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with thebrazilian data protection authority (anpd). if you live in australia, you have the right to lodge a complaint with",privacy_policies/new_unique_text_PP/AI21_PP/20250729000000/index.txt,privacy_policies/new_unique_text_PP/Anthropic_PP/20260609035417/privacy.txt,"User Access, Edit and Deletion"
Anthropic,xAI,"that we process on behalf of customers of our business offerings, such as our enterprise accounts. our use of that data is governed by our customer agreements covering access to and use of those","that we process on behalf of customers of our business offerings, such as our api. our use of that data is governed by customer agreements covering access to and use of those",privacy_policies/new_unique_text_PP/Anthropic_PP/20260609035417/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250124023459/privacy-policy.txt,Introductory
ByteDance,xAI,service. we use your personal information to: provide,service: we use your personal information to provide,privacy_policies/new_unique_text_PP/ByteDance_doubao_PP/20240529154215/privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,Other
Anthropic,OpenAI,"communication information:if you communicate with us, we collect your name, contact information, and the contents of any messages you send. communication information","communication information: if you communicate with us, we collect your name, contact information, and the contents of any messages you send (“communication information",privacy_policies/new_unique_text_PP/Anthropic_PP/20240304151321/privacy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,First-party Data Collection
Anthropic,DeepSeek,consent when we ask for it to process,consent when we ask for it to process your personal data for a specific purpose to communicate with you. performance of a contract with you when we provide and maintain our services.your consent when we ask for it to process,privacy_policies/new_unique_text_PP/Anthropic_PP/20241219083518/privacy.txt,privacy_policies/new_unique_text_PP/DeepSeek_PP/20260103103801/deepseek-privacy-policy.txt,Other
Mistral,OpenAI,"to communicate with you, including to send you","to communicate with you, including to send you",privacy_policies/new_unique_text_PP/Mistral_PP/20250527000000/terms.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231222085448/eu-privacy-policy.txt,Other
DeepSeek,OpenAI,"we receive information from our trusted partners, such as security partners, to protect against fraud, abuse, and","we receive information from our trusted partners, such as security partners, to protect against fraud, abuse, and",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250214185351/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Data Security
OpenAI,xAI,"to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, content delivery services, support and safety monitoring services","to vendors and service providers including providers of hosting services, cloud services, web analytics providers, content delivery services, support and safety monitoring services",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20250103080755/privacy-policy.txt,Third Party Sharing/Collection
DeepSeek,OpenAI,"however, no internet or email transmission is ever fully secure or error free. in particular, emails sent to or from us may not be secure.therefore, you should take special care in deciding what personal data you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the services, or third-party websites. therefore, you should take special care in deciding what personal data you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the","however, no internet or email transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the",privacy_policies/new_unique_text_PP/DeepSeek_PP/20260103103801/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20231115012513/eu-privacy-policy.txt,Data Security
Anthropic,xAI,to correct this information—but due to the,to correct this information — but due to the,privacy_policies/new_unique_text_PP/Anthropic_PP/20240225205441/privacy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,"User Access, Edit and Deletion"
DeepSeek,OpenAI,"from our trusted partners, such as security partners, to protect against fraud, abuse, and","from our trusted partners, such as security partners, to protect against fraud, abuse, and",privacy_policies/new_unique_text_PP/DeepSeek_PP/20250704000000/deepseek-privacy-policy.txt,privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,Data Security
OpenAI,xAI,"content delivery services, support and safety monitoring services","content delivery services, support and safety monitoring services",privacy_policies/new_unique_text_PP/OpenAI_EU_PP/20241104000000/eu-privacy-policy.txt,privacy_policies/new_unique_text_PP/xAI_PP/20241110065240/privacy-policy.txt,Other
