case_hash,occurrence_count,company_a,company_b,representative_text_a,representative_text_b,representative_path_a,representative_path_b,category
1f6ae613407615a3b6845d44706758966cd42a63,20,OpenAI,xAI,the right to appeal a decision we make,the right to appeal a decision we make about your rights request. the right to appeal a decision we make,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
1fb1859cc501cd1407da89db56ba5a54a0b34a05,9,Anthropic,OpenAI,"collect your name, contact information, and the contents of any messages you send","collect your name, contact information, and the contents of any messages you send",Anthropic_PP\20250501000000\privacy.txt,OpenAI_PP\20230227230602\privacy-policy.txt,First-party Data Collection
1fb21bcdac8fa64a2b19a43bdb64382c4347d2fc,144,Anthropic,xAI,"our terms including misuse of services, fraud, abuse","our terms including misuse of services, fraud, abuse",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Data Security
1fc62ecb69d8bc98e77b92c6facce6f5101620f7,2,DeepSeek,OpenAI,"transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or","transmission is ever fully secure or error free. in particular, e-mail sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or e-mail. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or",DeepSeek_old_PP\20240520220020\DeepSeek%20Privacy%20Policy.txt,OpenAI_PP\20230227230602\privacy-policy.txt,Data Security
1fc8d6a2057eae70fec3d1885752645714079311,10,Alibaba,Anthropic,"we collect information about your use of the services, such as the","we collect information about your use of the services, such as the",Alibaba_old_PP\20250120114200\Qwen.txt,Anthropic_PP\20240304151321\privacy.txt,First-party Data Collection
1fdc66cefad68ee8dbc437a1c84ca0106d5de5de,6,OpenAI,xAI,the sources of information used to develop our,the sources of information used to develop our,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
1ff4ea5eeac666222d71a421a0a1abbf9517976e,2,AI21,OpenAI,"to comply with legal obligations and to protect the rights, privacy","to comply with legal obligations and to protect the rights, privacy",AI21_PP\20250729000000\index.txt,OpenAI_PP\20241203173911\privacy-policy.txt,Data Security
200f26ece061f21cc150e37a95357863aa48fe5f,4,AI21,Anthropic,you have the right to lodge a complaint with,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with theuk information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with",AI21_PP\20250729000000\index.txt,Anthropic_PP\20240804093450\privacy.txt,International & Special Audiences
20244a017ea0a74ee232f555b8b37aedec82932a,2,DeepSeek,Mistral,we use your personal data we use your personal data to,we use your personal data? we use your personal data: to,DeepSeek_PP\20250704000000\deepseek-privacy-policy.txt,Mistral_PP\20250221130852\terms.txt,Other
20412872b078a5831ff276db6ac2e5aff2f9e7bf,6,OpenAI,xAI,"including your prompts and other content you upload, such as files","including your prompts and other content you upload, such as files",OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,Model Training
2073c814d58714370adf94c7c47a7be16e2dd33c,24,OpenAI,xAI,sell” personal information or “share” personal information for,sell personal information or share personal information for,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,Other
210fccd0779ab9e0e25dca041829727835845804,3,Anthropic,OpenAI,on the data used to train our models,on the data used to train our models. account information user content communication information other information you provide data we receive from other sources log data usage data device information cookies and similar technologies seeherefor more specific information on the data used to train our models,Anthropic_PP\20241219083518\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,First-party Data Collection
21aa78c0942845b531ae9ede1a882274b8963836,4,Anthropic,xAI,"<PROVIDER> returned inaccurate information in an output, or",<PROVIDER> returned inaccurate information in an output or,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Model Training
21d56d75586be662c5557521ba113e2696198a08,10,DeepSeek,OpenAI,"on where you live, you may have certain","on where you live, you may have certain",DeepSeek_old_PP\20240323213732\DeepSeek%20Privacy%20Policy.txt,OpenAI_PP\20241203173911\privacy-policy.txt,Other
21fa3ad24f2d4791ac4f05ce35de1c470ffe3305,72,OpenAI,xAI,"to provide to us, such as your contact","to provide to us, such as your contact",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,First-party Data Collection
2212e0d2305151e28a413b785a164ec84f117250,16,Anthropic,xAI,"terms including misuse of services, fraud, abuse, and","terms including misuse of services, fraud, abuse, and other trust and safety protocols; detecting, preventing, and enforcing violations of our terms including misuse of services, fraud, abuse, and",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241117131907\privacy-policy.txt,Data Security
223125639b1f6d557b628174d1c414ea0828c444,1,OpenAI,xAI,"more specific information on the data used to train our models. account information user content communication information other information you provide data we receive from other sources log data usage data device information cookies and similar technologies seeherefor more specific information on the data used to train our models. where necessary for our legitimate interests and those of third parties and broader society, including in developing, improving, or promoting our services, such as when we train and improve our models. seeherefor more information. where necessary for our legitimate interests and those of third parties and broader society, including in developing, improving, or promoting our services, such as when we train and improve our models. seeherefor more information","more specific information on the data used to train our models. contact and communications data user content feedback data technical data seeherefor more specific information on the data used to train our models. legitimate interests (to improve and develop our service), such as when we train and improve our models. seeherefor more information.consent legitimate interests (to improve and develop our service), such as when we train and improve our models. seeherefor more information",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Model Training
22656ac7e7f5b188f934c711e7b2d558b7f624d6,3,DeepSeek,OpenAI,"partners, to protect against fraud, abuse, and other security threats to our services","partners to protect against fraud, abuse, and other security threats to our services",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Data Security
2316fd55f7d90d56ff14fd9201e7292f6b2e1cb7,32,OpenAI,xAI,"when you create an account with us, we will collect information associated with your account, including your name, contact information, account credentials","when you create an account with us, we will collect information associated with your account, including your name, contact information, account credentials",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,First-party Data Collection
23dbfc1e4a7102c2e1ac0791b2e6b003e0cc760a,1,OpenAI,xAI,"we have pages on social media sites like instagram, facebook, medium, twitter, youtube and linkedin (“social media pages”). when you interact with our social media pages, we will collect personal information that you elect to provide to us, such as your contact details (“social information”). in addition, the companies that host our social media pages may provide us with aggregate information and analytics","we have pages on social media sites like instagram, facebook, medium, x, youtube, and linkedin. when you interact with our social media pages, we collect personal information that you choose to provide to us. in addition, the companies that host our social media pages may provide us with aggregate information and analytics",OpenAI_PP\20230227230602\privacy-policy.txt,xAI_PP\20250710000000\privacy-policy.txt,Third-Party Sharing/Collection
23f26ebc1845042e820e5f009f416ebff4e66fba,136,OpenAI,xAI,aggregate information and analytics about our social media,aggregate information and analytics about our social media,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Identifiability
2417b39bd3714e78948924cba260fab5f87daf58,136,OpenAI,xAI,with aggregate information and analytics about our social,with aggregate information and analytics about our social,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Identifiability
24275d0a7776a52a47cfefa5fdd003745a6e1a58,5,Anthropic,OpenAI,"to perform a contract with you, such as","to perform a contract with you, such as processing a user’s prompts to provide a response. where necessary to perform a contract with you, such as",Anthropic_PP\20241219083518\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Model Training
2515618c58348f9decab4389dbe964914ff930b0,32,Anthropic,xAI,not override our interests. our legitimate interests include,not override our interests. our legitimate interests include,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
256d37835e9a61f70f438726d8577e51e0c00944,3,DeepSeek,OpenAI,"partners, to protect against fraud, abuse, and other security threats to our services","partners, to protect against fraud, abuse, and other security threats to our services",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Data Security
25c78262dde8284739364d1d0519c441111302cf,3,Alibaba,Anthropic,to de-identify personal data and train our ai models,to de-identify personal data and train our ai models,Alibaba_old_PP\20250120114200\Qwen.txt,Anthropic_PP\20240607083447\privacy.txt,Model Training
26603f27c996819e162200617b0006dd839b12c3,8,DeepSeek,Mistral,personal data for as long as necessary to,personal data for as long as necessary to,DeepSeek_PP\20250704000000\deepseek-privacy-policy.txt,Mistral_old_PP\20231211094117\Policy.txt,Data Retention
2699a269556d12c8d3145ad7eee7cd0a1e7d5486,3,Alibaba,OpenAI,"as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device","as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_old_PP\20220323134726\privacy.txt,User Access/Edit/Deletion
26d0be6c2d7b733d0f07bd5df6ca907cead69bf0,80,OpenAI,xAI,"to vendors and service providers, including providers of",to vendors and service providers including providers of,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Third-Party Sharing/Collection
271df139e6fe37182fb95ecfa2d000c169284ff3,24,Anthropic,DeepSeek,the right to withdraw your consent at any time,the right to withdraw your consent at any time,Anthropic_PP\20240225205441\privacy.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,User Choice/Control
27364c77600c25e5d09daf5e9294984deeb9af7c,60,Cohere,OpenAI,to the privacy policy we may update this privacy policy,to the privacy policy we may update this privacy policy,Cohere_old_PP\20210530222620\privacy.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Policy Change
280af3f2c5bd62d4b7e4186d313b4e7f496e75c4,33,Mistral,xAI,you have the right to withdraw your consent,you have the right to withdraw your consent,Mistral_old_PP\20231211094117\Policy.txt,xAI_PP\20250103080755\privacy-policy.txt,User Choice/Control
285041bce4673c88bf7c56eddf0b7eb0eebff44a,6,Alibaba,OpenAI,"you can exercise some of these rights through your services account. if you are unable to exercise your rights through your account, please submit your request","you can exercise some of these rights through your <PROVIDER> account. if you are unable to exercise your rights through your account, please submit your request",Alibaba_PP\20250410000000\Qwen.txt,OpenAI_PP\20231114221748\privacy-policy.txt,Other
28c4cb6ca5181d67a694a8584a979c673badecf5,136,OpenAI,xAI,youtube and linkedin. when you interact with our,youtube and linkedin. when you interact with our,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Other
28e030123e198318856790603a4bde19ac228831,2,Anthropic,OpenAI,personal information we receive automatically from your use of the,personal information we receive automatically from your use of the,Anthropic_old_PP\20230309171545\legal.txt,OpenAI_PP\20230227230602\privacy-policy.txt,Other
2911576c16fddaf8b1d4c9f68e22f1914b322ccc,8,Anthropic,OpenAI,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with",you have the right to lodge a complaint with,Anthropic_PP\20240607083447\privacy.txt,OpenAI_PP\20230314210410\privacy-policy.txt,International & Special Audiences
29591ef30e618dc7860e5e14b9aa03b50a675271,24,Anthropic,xAI,"fraud, abuse, and other trust and safety protocols; and protecting our rights and the rights of others. where you have given us yourconsent. you have the right to withdraw your consent at any time","fraud, abuse, and other trust and safety protocols; processing job applications and managing, improving, and safeguarding our recruiting and hiring processes; and protecting our rights and the rights of others. consent: where you have given us your consent. when we process personal information based on your consent, it will be expressly indicated to you at the point and time of collection. you have the right to withdraw your consent at any time",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20250103080755\privacy-policy.txt,User Choice/Control
296407ef8e49ed2784f54bc41a68a32fbcfa4bbe,84,OpenAI,xAI,"view or engage with, the features you use","view or engage with, the features you use",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,Other
29a9413272295468f74b5b88066268da60c88b52,12,Alibaba,OpenAI,"prevent fraud, illegal activity, or misuses of our","prevent fraud, illegal activity, or misuses of our",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Data Security
2a38ce62348aaf42f06eb6bc1b28204586645c80,3,DeepSeek,OpenAI,services. your consent when we ask for it,services.your consent when we ask for it,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Other
2a8f27ac03fea04e76e42a34c3333a350172d9c9,18,Alibaba,DeepSeek,we may update this privacy policy from time to time,we may update this privacy policy from time to time,Alibaba_old_PP\20250120114200\Qwen.txt,DeepSeek_old_PP\20240323213732\DeepSeek%20Privacy%20Policy.txt,Policy Change
2af1355f937cd1f222304e8edb46445c841417ae,32,Anthropic,xAI,third party) and your interests and rights do,third party) and your interests and rights do,Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Third-Party Sharing/Collection
2b2930a09416d3942352437ace69fabd51245c18,3,Alibaba,OpenAI,services) to comply with legal obligations and to,services; to comply with legal obligations and to,Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Other
2b392f84c4069eb5240e50faec5e1ac61410586c,5,Anthropic,OpenAI,where necessary to perform a contract with you,"where necessary to perform a contract with you, such as processing a user’s prompts to provide a response. where necessary to perform a contract with you",Anthropic_PP\20241219083518\privacy.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Model Training
2c2b1c918a9af06a11dbf0b656a79d8ff3923ab9,9,Cohere,xAI,you have the right to withdraw your consent at any time,you have the right to withdraw your consent at any time,Cohere_PP\20230831064546\privacy.txt,xAI_PP\20250103080755\privacy-policy.txt,User Choice/Control
2c8150e23059db47a372f0db9ef0b08465a10384,5,OpenAI,xAI,"legal obligations and to protect the rights, privacy, safety, or property of our users","legal obligations and to protect the rights, privacy, safety, or property of our users",OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,Data Security
2d38ecba6f0a18cd47bc2c6e563791254bd76311,1,Alibaba,DeepSeek,we use cookies and similar technologies iv. how,we use cookies and similar technologies iv. how,Alibaba_PP\20250410000000\Qwen.txt,DeepSeek_old_PP\20231208073102\DeepSeek%20Privacy%20Policy.txt,First-party Data Collection
2d55d9c7fd17e094ce465be5d5784ca91a99888e,3,Alibaba,Anthropic,"we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to a prompt. if you rate an output in response to a prompt—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. feedback communication information: if you communicate with us, such as via email or our pages on social media sites, we may collect personal data such as your name, contact information, and the contents of","we appreciate feedback, including ideas and suggestions for improvement or rating an output in response to an input (""feedback""). if you rate an output in response to an input—for example, by using the thumbs up/thumbs down icon—we will store the related conversation as part of your feedback. feedback on your use of our services: feedback communication information:if you communicate with us, including via our social media accounts, we collect your name, contact information, and the contents of",Alibaba_PP\20250410000000\Qwen.txt,Anthropic_PP\20240607083447\privacy.txt,First-party Data Collection
2d7a40b671eaec67a81b82f6f42804a32f3be675,1,Anthropic,OpenAI,"personal data for the following purposes: to provide, maintain and facilitate any products and services offered to you with respect to your <PROVIDER> account, which are governed by our terms of service; to communicate with you, including to send you information","personal data for the following purposes: to provide analyze, and maintain our services, for example to respond to your questions for <PROVIDER> ; to improve and develop our services and conduct research, for example to develop new product features; to communicate with you, including to send you information",Anthropic_PP\20241219083518\privacy.txt,OpenAI_PP\20241203173911\privacy-policy.txt,Model Training
2d8399ff98db2a9d9d346b56d2a8929a8618ae3a,15,Alibaba,xAI,"legal obligations and to protect the rights, privacy, safety, or property of our users","legal obligations and to protect the rights, privacy, safety, or property of our users",Alibaba_old_PP\20250120114200\Qwen.txt,xAI_PP\20250124023459\privacy-policy.txt,Data Security
2d9a32fbe9b26742a75c263e19120b045e3b3575,16,DeepSeek,OpenAI,"however, no internet or email transmission is ever fully secure or error free. in particular, emails sent to or from us may not be secure.therefore, you should take special care in deciding what information you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites. therefore, you should take special care in deciding what information you send to us via the services or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites","however, no internet or email transmission is ever fully secure or error free. in particular, email sent to or from us may not be secure. therefore, you should take special care in deciding what information you send to us via the service or email. in addition, we are not responsible for circumvention of any privacy settings or security measures contained on the service, or third-party websites",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Data Security
2db6450fbae850413813851a1cddeed385b317ad,48,Alibaba,OpenAI,"activity, or misuses of our services, and to","activity, or misuses of our services, and to",Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,Data Security
2e92ad1b31d13a9402ebb895313ab9666562563e,8,Anthropic,Mistral,inputs. if you include personal data in your,inputs (if you include personal data in your,Anthropic_PP\20240304151321\privacy.txt,Mistral_PP\20241214124353\terms.txt,Model Training
2e9b35c901440c93106511af34e3bf34c2875eee,55,Anthropic,DeepSeek,it to process your personal data for a,it to process your personal data for a,Anthropic_PP\20241219083518\privacy.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,Other
2ea96e28be67f926a1e7c95c8ab96733f40dcac8,16,Alibaba,OpenAI,"13. if you have reason to believe that a child under 13 has provided personal data to us through the services, please contact our dpo via the contact details set out below. we will investigate any notification and, if appropriate, delete the personal","13. if you have reason to believe that a child under the age of 13 has provided personal information to <PROVIDER> through the service, please email us at <EMAIL> . we will investigate any notification and if appropriate, delete the personal",Alibaba_PP\20250410000000\Qwen.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Children's Privacy
2eb089a56a7a344b3337e719ff92a162a800feff,1,Alibaba,xAI,your information if there was an ongoing legal claim and the information was relevant to the claim,"your information if there was an ongoing legal claim and the information was relevant to the claim). for litigation or regulatory matters (e.g., we would retain your information if there was an ongoing legal claim and the information was relevant to the claim",Alibaba_old_PP\20250120114200\Qwen.txt,xAI_PP\20250103080755\privacy-policy.txt,Data Retention
2ec0a03957508a2f841179b0144f70b609e09df7,144,Anthropic,xAI,"of our terms including misuse of services, fraud","of our terms including misuse of services, fraud",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,Data Security
2f10aba09deccb5b335f8bf8fe6a27dc4a18d1b4,144,OpenAI,xAI,host our social media pages may provide us,host our social media pages may provide us,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,Third-Party Sharing/Collection
2f536862dc8c790688264bc1d051c5c6968afde1,2,Alibaba,OpenAI,"object to how we process your personal data; 1.6 withdraw your consent; and/or 1.7 make a complaint to the data protection agency in your country. you can exercise some of these rights through your services account. if you are unable to exercise your rights through your account, please submit your request","object to how we process your personal data when our processing is based on our legitimate interests. you can exercise some of these rights through your <PROVIDER> account. if you are unable to exercise your rights through your account, please submit your request",Alibaba_PP\20250410000000\Qwen.txt,OpenAI_EU_PP\20231222085448\eu-privacy-policy.txt,User Choice/Control
2fc68197d7db88e5402c9d524fba25b0d767f2c8,12,OpenAI,xAI,determine the general area from which your device,determine the general area from which your device,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,Other
2ffa877fae3a622f48e1f3836bc1406fa6b2af45,3,Alibaba,OpenAI,"collect information that your browser or device automatically sends when you use our services. this may include the brand, model, and id of your device, your internet protocol (ip)address, browser type and settings, the date and time of your request, and how you interact with our services. log data information we automatically collect during your use of the services usage data: we may collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection","collect information that your browser or device automatically sends when you use our services. log data includes your internet protocol address, browser type and settings, the date and time of your request, and how you interact with our services. usage data: we collect information about your use of the services, such as the types of content that you view or engage with, the features you use and the actions you take, as well as your time zone, country, the dates and times of access, user agent and version, type of computer or mobile device, and your computer connection",Alibaba_PP\20250410000000\Qwen.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,First-party Data Collection
30240161bb7f442630967fca8b8344070185c247,39,Anthropic,DeepSeek,processing of your personal data is based on,processing of your personal data is based on,Anthropic_old_PP\20230309171545\legal.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,Other
303ecbc3aa6013c603d1db1161a349d5be011b5f,6,Cohere,xAI,you have the right to withdraw your consent at any time,"you have the right to withdraw your consent at any time. consent: where you have given us your consent. when we process personal information based on your consent, it will be expressly indicated to you at the point and time of collection. you have the right to withdraw your consent at any time",Cohere_PP\20230831064546\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,User Choice/Control
30a500b0ccb1d32f86ee97a38d3da3d21d9b09b6,10,AI21,Anthropic,you have the right to lodge a complaint with,"you have the right to lodge a complaint with the supervisory authority in the eu country in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with",AI21_PP\20250729000000\index.txt,Anthropic_PP\20240225205441\privacy.txt,International & Special Audiences
30b2c9a5f61e7885371770a782025107960c7824,20,OpenAI,xAI,the general area from which your device accesses,the general area from which your device accesses,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,xAI_PP\20250215010404\privacy-policy.txt,User Access/Edit/Deletion
30b34b7be487febd91d963fb39f7175d67887ffa,4,OpenAI,xAI,"protect the rights, privacy, safety, or property of our users, <PROVIDER> , or third parties","protect the rights, privacy, safety, or property of our users, <PROVIDER> , or third parties",OpenAI_PP\20241203173911\privacy-policy.txt,xAI_PP\20250124023459\privacy-policy.txt,Data Security
30cb420ec7ce78db7551b927614631cdba4df0fa,55,Anthropic,DeepSeek,ask for it to process your personal data,ask for it to process your personal data,Anthropic_PP\20241219083518\privacy.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,Other
31ecf53cd5bec246d65bc616b55ebb435db4eeec,18,Anthropic,DeepSeek,"when the personal data collected is no longer required by us, we and our service providers will perform the necessary procedures for destroying, deleting, erasing, or converting it into an anonymous form as permitted or required under applicable laws","when the personal data collected is no longer required by us, we and our service providers will perform the necessary procedures for destroying, deleting, erasing, or converting it into an anonymous form as permitted or required under applicable laws",Anthropic_PP\20240607083447\privacy.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,Identifiability
3202340a9cb1eeee93a5b4acfa7b10250e37ded6,24,DeepSeek,OpenAI,"services. pursuant to our instructions, these parties will access, process, or store personal data only in the course of performing their duties to us","services. pursuant to our instructions, these parties will access, process, or store personal information only in the course of performing their duties to us",DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,OpenAI_PP\20230314210410\privacy-policy.txt,Third-Party Sharing/Collection
321bc63527385fad296093bcd308f154d633b337,12,Alibaba,xAI,"prompts and other content you upload, such as","prompts and other content you upload, such as",Alibaba_old_PP\20250120114200\Qwen.txt,xAI_PP\20250215010404\privacy-policy.txt,Model Training
328faa41834651fbc04aca1cb3065aa8ad3d92a0,68,OpenAI,xAI,"to us, such as your contact details (collectively","to us, such as your contact details (collectively",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241110065240\privacy-policy.txt,First-party Data Collection
33e36e8699092b2957b8251cbe64ffd53add8a19,22,Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is availablehere. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with theuk information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with thebrazilian data protection authority (anpd).if you live in australia, you have the right to lodge a complaint",you have the right to lodge a complaint,Anthropic_PP\20241219083518\privacy.txt,Mistral_old_PP\20231211094117\Policy.txt,International & Special Audiences
33fca5a604fe6d4f7093cb7aa5bf230f782d3bf5,32,Anthropic,xAI,you have the right to withdraw your consent,"you have the right to withdraw your consent at any time. consent: where you have given us your consent. when we process personal information based on your consent, it will be expressly indicated to you at the point and time of collection. you have the right to withdraw your consent",Anthropic_PP\20240225205441\privacy.txt,xAI_PP\20241110065240\privacy-policy.txt,User Choice/Control
34010e7a65566d634b595b211833073118ac81dc,10,Anthropic,DeepSeek,when we ask for it to process your,when we ask for it to process your personal data for a specific purpose to communicate with you. performance of a contract with you when we provide and maintain our services. your consent when we ask for it to process your,Anthropic_PP\20241219083518\privacy.txt,DeepSeek_PP\20250214185351\deepseek-privacy-policy.txt,Other
34518cedce156f8561d3037effe869a084265fbe,75,OpenAI,xAI,the factual accuracy of output from our models. if,the factual accuracy of output from our models. if,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20241117131907\privacy-policy.txt,Model Training
3484fbdb4a809b43c91c94d054426ee4566dafcd,33,Anthropic,OpenAI,from your use of the services when you,from your use of the services: when you,Anthropic_PP\20240225205441\privacy.txt,OpenAI_EU_PP\20241104000000\eu-privacy-policy.txt,Other
348f8b9a1552b80ecc1fa5d0a49d334c9d1d6196,20,Alibaba,Anthropic,"collect information about your use of the services, such as the","collect information about your use of the services, such as the",Alibaba_PP\20250410000000\Qwen.txt,Anthropic_PP\20240304151321\privacy.txt,First-party Data Collection
34a57bacb8d9adf0da50f4bd9e3660d69aef3225,11,Anthropic,Mistral,"you have the right to lodge a complaint with the supervisory authority in the place in which you live or work. a full list of eu supervisory authorities’ contact details is available here. if you live or work in the <JURISDICTION> , you have the right to lodge a complaint with the <JURISDICTION> information commissioner’s office. if you live in brazil, you have the right to lodge a complaint with the brazilian data protection authority (anpd).if you live in australia, you have the right to lodge a complaint",you have the right to lodge a complaint,Anthropic_PP\20250501000000\privacy.txt,Mistral_old_PP\20231211094117\Policy.txt,International & Special Audiences
34b31288f3c70cc2f5a5cb595443d0ba8694bc1c,20,Anthropic,xAI,"with us, we collect your name, contact information","with us, we collect your name, contact information",Anthropic_PP\20240304151321\privacy.txt,xAI_PP\20250215010404\privacy-policy.txt,First-party Data Collection
34f26e7abe480cd086b747d260fd76cd543f1ea3,12,OpenAI,xAI,"to protect the safety, security, and integrity of our","to protect the safety, security, and integrity of our business and the service, as well as to protect our rights and property and those of others (e.g., if we detect misuse of our service or otherwise detect unusual activity on your account or in your interactions with us); and to protect the safety, security, and integrity of our",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20250103080755\privacy-policy.txt,Data Security
35d21479d6488714c92427bf04d5b84e99ffe206,16,OpenAI,xAI,"affiliates: we may disclose personal information to our affiliates, meaning an entity that controls, is controlled by, or is under common control with <PROVIDER>","affiliates: we may disclose personal information to our affiliates, meaning an entity that controls, is controlled by, or is under common control with <PROVIDER>",OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,xAI_PP\20231106075325\privacy-policy.txt,Third-Party Sharing/Collection
35f6989b95b57f1227f1b208736115c46955c3f9,24,Alibaba,OpenAI,and information relating to how it is processed,and information relating to how it is processed,Alibaba_old_PP\20250120114200\Qwen.txt,OpenAI_EU_PP\20231115012513\eu-privacy-policy.txt,Other
